PULocationID,n_trips,avg_distance,avg_total,avg_tip_pct,Borough,Zone,service_zone
256,484,4.344836,32.770527,0.16713375,Brooklyn,Williamsburg (South Side),Boro Zone
223,476,6.263763,54.28826,0.1267151,Queens,Steinway,Boro Zone
49,472,5.5215063,29.702229,0.056180287,Brooklyn,Clinton Hill,Boro Zone
55,449,11.035767,44.04088,0.0019874803,Brooklyn,Coney Island,Boro Zone
219,446,14.9100685,79.64476,0.097621806,Queens,Springfield Gardens South,Boro Zone
177,445,6.6534405,32.819405,0.011835566,Brooklyn,Ocean Hill,Boro Zone
93,435,8.767268,86.132965,0.1432824,Queens,Flushing Meadows-Corona Park,Boro Zone
14,428,8.980793,39.286198,0.0837947,Brooklyn,Bay Ridge,Boro Zone
215,424,11.637754,65.822716,0.06747173,Queens,South Jamaica,Boro Zone
62,415,5.017447,28.04338,0.00979832,Brooklyn,Crown Heights South,Boro Zone
37,410,5.741001,30.42172,0.038556073,Brooklyn,Bushwick South,Boro Zone
80,409,5.309829,36.16055,0.10108519,Brooklyn,East Williamsburg,Boro Zone
195,391,11.1656475,66.42573,0.08398988,Brooklyn,Red Hook,Boro Zone
222,377,7.595518,34.83874,0.0011205495,Brooklyn,Starrett City,Boro Zone
69,364,7.90852,35.445198,0.0058067534,Bronx,East Concourse/Concourse Village,Boro Zone
82,359,6.349309,51.386894,0.071840756,Queens,Elmhurst,Boro Zone
179,348,4.7171254,27.778875,0.09973568,Queens,Old Astoria,Boro Zone
52,341,4.0096774,28.334871,0.16217999,Brooklyn,Cobble Hill,Boro Zone
243,338,5.63577,30.47361,0.051376242,Manhattan,Washington Heights North,Boro Zone
95,338,6.572275,35.63816,0.044228926,Queens,Forest Hills,Boro Zone
51,337,12.975842,47.58572,0.00068739266,Bronx,Co-Op City,Boro Zone
168,329,6.253466,32.760723,0.020036282,Bronx,Mott Haven/Port Morris,Boro Zone
165,324,5.964999,29.766945,0.00025455008,Brooklyn,Midwood,Boro Zone
134,315,5.3972063,62.736782,0.080593675,Queens,Kew Gardens,Boro Zone
77,303,7.4354453,33.913532,0.0,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone
193,301,3.9581416,25.940294,0.09961053,Queens,Queensbridge/Ravenswood,Boro Zone
157,296,6.1483803,57.993553,0.18994965,Queens,Maspeth,Boro Zone
155,293,7.1792827,35.422768,0.01322451,Brooklyn,Marine Park/Mill Basin,Boro Zone
254,277,12.253395,46.003323,0.0014006847,Bronx,Williamsbridge/Olinville,Boro Zone
26,274,6.1553283,30.054302,0.0,Brooklyn,Borough Park,Boro Zone
218,269,11.089849,44.418392,0.01908086,Queens,Springfield Gardens North,Boro Zone
210,269,9.333317,41.54355,0.0031457178,Brooklyn,Sheepshead Bay,Boro Zone
112,266,3.9716158,27.317402,0.15269072,Brooklyn,Greenpoint,Boro Zone
213,264,10.094244,41.43341,0.014039576,Bronx,Soundview/Castle Hill,Boro Zone
205,263,11.550306,45.987373,0.001897862,Queens,Saint Albans,Boro Zone
159,262,6.8741612,32.683926,0.017787471,Bronx,Melrose South,Boro Zone
85,261,6.4030313,29.539534,0.0063814092,Brooklyn,Erasmus,Boro Zone
189,258,4.551163,26.533485,0.121557504,Brooklyn,Prospect Heights,Boro Zone
28,245,10.356979,68.80081,0.094586395,Queens,Briarwood/Jamaica Hills,Boro Zone
86,233,17.004637,58.084435,0.0014268365,Queens,Far Rockaway,Boro Zone
247,231,7.7685266,39.700256,0.01962788,Bronx,West Concourse,Boro Zone
117,228,14.87425,55.489773,0.00045639594,Queens,Hammels/Arverne,Boro Zone
228,226,7.913364,38.109287,0.019388227,Brooklyn,Sunset Park West,Boro Zone
123,225,7.3892903,34.315014,0.004846093,Brooklyn,Homecrest,Boro Zone
235,225,8.337599,36.79319,0.010058067,Bronx,University Heights/Morris Heights,Boro Zone
182,222,9.769912,39.7095,0.0023891015,Bronx,Parkchester,Boro Zone
119,221,7.741133,35.98515,0.017438756,Bronx,Highbridge,Boro Zone
40,218,3.8377988,26.133753,0.15626901,Brooklyn,Carroll Gardens,Boro Zone
56,218,8.395046,52.88828,0.048623387,Queens,Corona,Boro Zone
241,202,9.632128,39.062325,0.003446094,Bronx,Van Cortlandt Village,Boro Zone
169,191,8.427747,37.230045,0.003270192,Bronx,Mount Hope,Boro Zone
36,185,5.3064857,30.313944,0.074615605,Brooklyn,Bushwick North,Boro Zone
167,180,7.9867797,34.45632,0.0013494077,Bronx,Morrisania/Melrose,Boro Zone
196,177,6.9697185,48.525352,0.05952824,Queens,Rego Park,Boro Zone
63,176,7.726591,35.975388,0.002643974,Brooklyn,Cypress Hills,Boro Zone
22,176,7.2232957,34.519596,0.0039698253,Brooklyn,Bensonhurst West,Boro Zone
47,176,9.625172,39.997772,0.0011927263,Bronx,Claremont/Bathgate,Boro Zone
78,173,9.117457,38.870155,0.004801664,Bronx,East Tremont,Boro Zone
242,171,9.314915,39.407528,0.0077600507,Bronx,Van Nest/Morris Park,Boro Zone
133,166,5.4446964,29.881435,0.013997098,Brooklyn,Kensington,Boro Zone
149,164,7.002134,33.975296,0.00093808636,Brooklyn,Madison,Boro Zone
127,160,9.069939,38.03356,0.02128633,Manhattan,Inwood,Boro Zone
18,157,10.875797,42.5533,0.0,Bronx,Bedford Park,Boro Zone
21,154,7.352467,37.94902,0.0028605321,Brooklyn,Bensonhurst East,Boro Zone
121,154,8.639871,38.282463,0.029366085,Queens,Hillcrest/Pomonok,Boro Zone
136,154,9.630777,38.534603,0.0024530978,Bronx,Kingsbridge Heights,Boro Zone
92,152,9.081647,40.43735,0.015620349,Queens,Flushing,Boro Zone
108,151,9.112981,39.900917,0.0,Brooklyn,Gravesend,Boro Zone
191,141,13.007377,46.769775,0.003016164,Queens,Queens Village,Boro Zone
29,139,9.60374,43.70445,0.0022205312,Brooklyn,Brighton Beach,Boro Zone
174,137,11.027521,45.884296,0.0006459531,Bronx,Norwood,Boro Zone
83,136,5.4316916,53.244183,0.09437785,Queens,Elmhurst/Maspeth,Boro Zone
131,132,10.083865,41.4062,0.00958476,Queens,Jamaica Estates,Boro Zone
220,126,8.73889,36.451027,0.029279381,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone
203,125,13.452001,54.966385,0.026972065,Queens,Rosedale,Boro Zone
227,125,7.49368,33.575592,0.004382722,Brooklyn,Sunset Park East,Boro Zone
217,122,4.393032,28.422537,0.05892357,Brooklyn,South Williamsburg,Boro Zone
135,119,8.538487,41.203094,0.021037871,Queens,Kew Gardens Hills,Boro Zone
259,119,13.5363865,49.713097,0.011771137,Bronx,Woodlawn/Wakefield,Boro Zone
258,112,8.832051,43.444805,0.0077538267,Queens,Woodhaven,Boro Zone
81,110,11.54609,46.618526,0.0032163844,Bronx,Eastchester,Boro Zone
198,110,6.037727,33.38081,0.041572697,Queens,Ridgewood,Boro Zone
32,110,10.499272,43.526714,0.0,Bronx,Bronxdale,Boro Zone
139,109,13.90835,51.111454,0.0,Queens,Laurelton,Boro Zone
248,108,10.097129,39.42563,0.0027233118,Bronx,West Farms/Bronx River,Boro Zone
106,107,4.8058877,27.602802,0.053201884,Brooklyn,Gowanus,Boro Zone
250,105,9.214856,37.46732,0.012219887,Bronx,Westchester Village/Unionport,Boro Zone
38,101,13.619801,58.045723,0.009783161,Queens,Cambria Heights,Boro Zone
124,99,8.351012,52.154747,0.06252921,Queens,Howard Beach,Boro Zone
60,97,9.681958,40.651943,0.0079302145,Bronx,Crotona Park East,Boro Zone
212,96,8.878331,37.024265,0.010809748,Bronx,Soundview/Bruckner,Boro Zone
20,96,10.071771,42.698532,0.008435099,Bronx,Belmont,Boro Zone
67,94,7.1559567,35.31797,0.013039592,Brooklyn,Dyker Heights,Boro Zone
202,94,5.788298,37.60063,0.05657398,Manhattan,Roosevelt Island,Boro Zone
208,86,9.613022,46.800686,0.04077196,Bronx,Schuylerville/Edgewater Park,Boro Zone
185,83,9.660842,38.50818,0.005340905,Bronx,Pelham Parkway,Boro Zone
160,83,6.7672296,52.38252,0.06968019,Queens,Middle Village,Boro Zone
3,81,562.21826,45.43517,0.01064354,Bronx,Allerton/Pelham Gardens,Boro Zone
94,80,9.353999,40.265987,0.0,Bronx,Fordham South,Boro Zone
126,79,9.7649355,40.130234,0.024920844,Bronx,Hunts Point,Boro Zone
147,78,9.455001,39.69473,0.003064,Bronx,Longwood,Boro Zone
11,78,9.351795,37.563072,0.0,Brooklyn,Bath Beach,Boro Zone
1,77,4.370649,89.3935,0.73989856,EWR,Newark Airport,EWR
257,75,7.489602,36.044395,0.06331242,Brooklyn,Windsor Terrace,Boro Zone
53,75,9.356399,49.079185,0.08980049,Queens,College Point,Boro Zone
200,74,10.076079,42.08945,0.018686006,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone
201,67,14.24209,57.051052,0.00885313,Queens,Rockaway Park,Boro Zone
171,65,9.622002,40.95276,0.0133352885,Queens,Murray Hill-Queens,Boro Zone
207,64,6.0681252,69.125,0.16934389,Queens,Saint Michaels Cemetery/Woodside,Boro Zone
194,62,6.741935,66.38418,0.20304753,Manhattan,Randalls Island,Yellow Zone
173,61,7.307378,36.610477,0.018472932,Queens,North Corona,Boro Zone
102,61,7.5821314,35.979015,0.017788367,Queens,Glendale,Boro Zone
19,60,12.146334,47.461834,0.034130562,Queens,Bellerose,Boro Zone
183,59,12.029322,44.195248,0.003555579,Bronx,Pelham Bay,Boro Zone
98,59,10.241528,39.342194,0.014794489,Queens,Fresh Meadows,Boro Zone
150,58,8.622759,40.75879,0.014469622,Brooklyn,Manhattan Beach,Boro Zone
122,56,12.083928,45.642124,0.0,Queens,Hollis,Boro Zone
6,54,6.0011106,25.006111,0.013506173,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
54,54,7.4166656,43.429825,0.07867903,Brooklyn,Columbia Street,Boro Zone
178,52,6.3067303,30.444227,0.0056980057,Brooklyn,Ocean Parkway South,Boro Zone
175,51,11.264901,48.56941,0.013134704,Queens,Oakland Gardens,Boro Zone
180,48,7.92125,43.955414,0.030723432,Queens,Ozone Park,Boro Zone
9,44,7.6768174,33.647724,0.047621187,Queens,Auburndale,Boro Zone
